5000 10000
0 1 4
0 2 6
0 4 6
0 5 2
0 10 1
0 12 8
0 19 8
0 30 1
0 34 10
0 38 2
0 56 1
0 170 1
0 469 5
0 1034 9
0 1680 5
0 2162 5
0 3767 4
0 3906 5
0 4465 1
1 3 8
1 14 3
1 18 10
1 25 1
1 28 3
1 84 7
1 153 6
1 627 5
1 1204 10
1 4988 5
2 8 8
2 13 4
2 72 8
2 271 5
2 538 7
2 1456 4
2 1465 7
2 2747 10
2 4723 10
3 7 9
3 9 6
3 16 6
3 20 4
3 513 7
3 554 10
3 1248 10
3 3178 3
3 3931 5
4 6 2
4 11 8
4 24 1
4 33 2
4 120 1
4 395 5
4 446 7
4 2219 5
4 3255 6
4 3936 4
5 99 6
5 205 8
5 297 3
5 576 7
5 662 3
5 960 8
5 1047 9
5 1220 6
5 3488 10
6 39 2
6 45 6
6 89 5
6 173 10
6 580 3
6 887 5
6 1461 8
6 4125 3
6 4294 1
7 21 10
7 31 3
7 240 6
7 1214 6
7 4412 8
7 4756 6
8 15 10
8 26 7
8 75 2
8 95 6
8 105 8
8 109 3
8 143 9
8 660 9
8 665 9
8 875 6
8 1121 1
8 1953 8
8 4458 9
9 894 5
9 1114 6
9 1819 4
9 1930 10
9 2920 7
9 3401 3
9 3859 3
9 4356 1
10 23 6
10 35 1
10 96 9
10 253 6
10 298 2
10 584 7
10 998 4
10 4457 9
11 85 1
11 196 4
11 451 10
11 873 1
11 2073 1
11 2561 1
11 2681 7
11 2731 2
11 3947 2
12 17 6
12 22 8
12 32 4
12 58 9
12 63 1
12 71 2
12 126 2
12 164 4
12 526 10
12 574 9
12 877 2
12 1152 8
12 2255 6
12 3461 5
12 4736 4
13 55 8
13 140 2
13 592 5
13 1206 7
13 2185 3
13 3260 1
13 4850 4
14 40 6
14 111 10
14 174 4
14 328 3
14 435 1
14 589 10
14 2833 4
14 4749 2
15 27 9
15 233 1
15 251 2
15 426 9
15 532 10
15 967 10
15 1159 9
15 1549 8
15 2053 9
15 4438 8
16 80 3
16 814 3
16 998 10
16 1505 6
16 1761 6
16 1946 5
17 51 7
17 53 1
17 291 8
17 345 1
17 566 3
17 572 5
17 715 9
17 903 8
17 2840 10
18 42 10
18 50 10
18 134 2
18 213 5
18 245 2
18 349 8
18 1029 9
18 2325 7
18 4040 5
19 37 9
19 41 8
19 599 5
19 3306 5
19 3408 6
20 52 1
20 784 8
20 1949 10
20 2023 4
20 2642 9
20 2934 5
20 3141 5
20 3362 1
20 4040 10
20 4488 4
21 29 7
21 110 8
21 163 1
21 166 9
21 292 1
21 454 4
21 879 1
22 583 3
22 779 2
22 1053 3
22 1366 1
22 2094 9
23 43 8
23 243 9
23 285 5
23 325 10
23 495 3
23 1856 1
23 3369 1
23 3702 5
23 4596 6
24 241 2
24 499 9
24 929 9
24 1943 4
24 2044 5
24 2145 8
24 2594 9
24 4344 5
24 4444 1
24 4836 4
25 48 5
25 81 9
25 104 9
25 131 10
25 1078 8
25 1896 3
25 2022 1
25 2849 10
25 2914 2
25 4106 7
25 4646 7
26 65 8
26 223 10
26 336 4
26 975 7
26 2921 3
27 2163 3
27 2490 3
27 3543 9
28 36 3
28 57 8
28 152 4
28 310 1
28 450 4
28 1656 1
28 2525 3
29 68 6
29 82 6
29 308 10
29 430 2
29 1133 10
29 1173 4
29 1964 8
29 4406 8
30 123 2
30 215 5
30 314 2
30 360 1
30 792 1
30 938 10
30 1715 6
30 2655 3
30 4252 4
30 4705 7
31 59 5
31 221 6
31 489 8
31 775 1
31 1356 2
31 3172 3
31 3587 4
31 4055 1
32 156 4
32 157 5
32 189 3
32 1199 8
32 2074 1
32 2504 9
32 2814 3
32 3209 9
32 3736 5
33 61 8
33 70 9
33 259 8
33 263 4
33 510 7
33 844 9
33 2201 1
