10 10
0 0 876
0 1 860
0 2 936
0 3 1022
0 4 353
0 5 980
0 6 805
0 7 985
0 8 1032
0 9 1428
1 0 440
1 1 272
1 2 541
1 3 445
1 4 82
1 5 272
1 6 460
1 7 327
1 8 268
1 9 532
2 0 382
2 1 246
2 2 373
2 3 396
2 4 13
2 5 301
2 6 482
2 7 532
2 8 534
2 9 574
3 0 872
3 1 792
3 2 1156
3 3 988
3 4 533
3 5 805
3 6 771
3 7 1115
3 8 1209
3 9 1056
4 0 1042
4 1 1066
4 2 1318
4 3 1289
4 4 498
4 5 847
4 6 1012
4 7 1551
4 8 1511
4 9 1238
5 0 980
5 1 1120
5 2 1112
5 3 1192
5 4 359
5 5 787
5 6 884
5 7 1330
5 8 1292
5 9 1133
6 0 395
6 1 553
6 2 313
6 3 414
6 4 95
6 5 312
6 6 271
6 7 478
6 8 405
6 9 384
7 0 881
7 1 1173
7 2 919
7 3 1340
7 4 346
7 5 882
7 6 771
7 7 1083
7 8 1188
7 9 1313
8 0 853
8 1 1031
8 2 903
8 3 972
8 4 403
8 5 640
8 6 610
8 7 991
8 8 891
8 9 778
9 0 489
9 1 437
9 2 402
9 3 265
9 4 193
9 5 239
9 6 310
9 7 505
9 8 592
9 9 355
